ELECT_DIV,STATE,HeldBy,Margin,Notional
Adelaide,SA,ALP,3.95,ALP
Aston,VIC,LP,8.2,Coalition
Ballarat,VIC,ALP,4.89,ALP
Banks,NSW,LP,2.8328,Coalition
Barker,SA,LP,16.55,Coalition
Barton,NSW,LP,4.4218,ALP
Bass,TAS,LP,4.04,Coalition
Batman,VIC,ALP,20.98,ALP
Bendigo,VIC,ALP,1.26,ALP
Bennelong,NSW,LP,7.7516,Coalition
Berowra,NSW,LP,19.0316,Coalition
Blair,QLD,ALP,5.26,ALP
Blaxland,NSW,ALP,11.2051,ALP
Bonner,QLD,LNP,3.69,Coalition
Boothby,SA,LP,7.12,Coalition
Bowman,QLD,LNP,8.86,Coalition
Braddon,TAS,LP,2.56,Coalition
Bradfield,NSW,LP,20.9409,Coalition
Brand,WA,ALP,3.7194,ALP
Brisbane,QLD,LNP,4.28,Coalition
Bruce,VIC,ALP,1.8,ALP
Burt,WA,,6.1081,Coalition
Calare,NSW,NP,14.9609,Coalition
Calwell,VIC,ALP,13.86,ALP
Canberra,ACT,ALP,7.4998,ALP
Canning,WA,LP,11.3434,Coalition
Capricornia,QLD,LNP,0.77,Coalition
Casey,VIC,LP,7.17,Coalition
Chifley,NSW,ALP,10.9271,ALP
Chisholm,VIC,ALP,1.6,ALP
Cook,NSW,LP,15.7623,Coalition
Corangamite,VIC,LP,3.94,Coalition
Corio,VIC,ALP,7.75,ALP
Cowan,WA,LP,4.5039,Coalition
Cowper,NSW,NP,13.2372,Coalition
Cunningham,NSW,ALP,11.2925,ALP
Curtin,WA,LP,18.2387,Coalition
Dawson,QLD,LNP,7.58,Coalition
Deakin,VIC,LP,3.18,Coalition
Denison,TAS,IND,15.51,Non-Classic
Dickson,QLD,LNP,6.72,Coalition
Dobell,NSW,LP,0.1968,ALP
Dunkley,VIC,LP,5.57,Coalition
Durack,WA,LP,15.1884,Coalition
Eden-Monaro,NSW,LP,2.8969,Coalition
Fadden,QLD,LNP,14.36,Coalition
Fairfax,QLD,PUP,0.03,Non-Classic
Farrer,NSW,LP,21.7632,Coalition
Fenner,ACT,ALP,12.4785,ALP
Fisher,QLD,LNP,9.75,Coalition
Flinders,VIC,LP,11.81,Coalition
Flynn,QLD,LNP,6.53,Coalition
Forde,QLD,LNP,4.38,Coalition
Forrest,WA,LP,13.8163,Coalition
Fowler,NSW,ALP,12.9266,ALP
Franklin,TAS,ALP,5.09,ALP
Fremantle,WA,ALP,5.3978,ALP
Gellibrand,VIC,ALP,16.53,ALP
Gilmore,NSW,LP,3.8114,Coalition
Gippsland,VIC,NP,15.84,Coalition
Goldstein,VIC,LP,11.03,Coalition
Gorton,VIC,ALP,16.12,ALP
Grayndler,NSW,ALP,18.7816,ALP
Greenway,NSW,ALP,2.9777,ALP
Grey,SA,LP,13.54,Coalition
Griffith,QLD,ALP,3.01,ALP
Groom,QLD,LNP,16.47,Coalition
Hasluck,WA,LP,6.0173,Coalition
Herbert,QLD,LNP,6.17,Coalition
Higgins,VIC,LP,9.93,Coalition
Hindmarsh,SA,LP,1.89,Coalition
Hinkler,QLD,LNP,9.04,Coalition
Holt,VIC,ALP,9.09,ALP
Hotham,VIC,ALP,7.27,ALP
Hughes,NSW,LP,11.82,Coalition
Hume,NSW,LP,13.6255,Coalition
Hunter,NSW,ALP,5.6766,ALP
Indi,VIC,IND,0.25,Non-Classic
Isaacs,VIC,ALP,3.86,ALP
Jagajaga,VIC,ALP,3.13,ALP
Kennedy,QLD,KAP,2.19,Non-Classic
Kingsford Smith,NSW,ALP,2.7265,ALP
Kingston,SA,ALP,9.7,ALP
Kooyong,VIC,LP,11.06,Coalition
La Trobe,VIC,LP,4.01,Coalition
Lalor,VIC,ALP,12.16,ALP
Leichhardt,QLD,LNP,5.68,Coalition
Lilley,QLD,ALP,1.32,ALP
Lindsay,NSW,LP,2.999,Coalition
Lingiari,NT,ALP,0.88,ALP
Longman,QLD,LNP,6.92,Coalition
Lyne,NSW,NP,13.5594,Coalition
Lyons,TAS,LP,1.22,Coalition
Macarthur,NSW,LP,3.3226,Coalition
Mackellar,NSW,LP,18.8264,Coalition
Macquarie,NSW,LP,4.4789,Coalition
Makin,SA,ALP,5.06,ALP
Mallee,VIC,NP,23.66,Coalition
Maranoa,QLD,LNP,22.28,Coalition
Maribyrnong,VIC,ALP,11.39,ALP
Mayo,SA,LP,12.51,Coalition
McEwen,VIC,ALP,0.15,ALP
McMahon,NSW,ALP,4.635,ALP
McMillan,VIC,LP,11.83,Coalition
McPherson,QLD,LNP,13,Coalition
Melbourne,VIC,GRN,5.27,Non-Classic
Melbourne Ports,VIC,ALP,3.56,ALP
Menzies,VIC,LP,14.45,Coalition
Mitchell,NSW,LP,21.3688,Coalition
Moncrieff,QLD,LNP,17.95,Coalition
Moore,WA,LP,12.4329,Coalition
Moreton,QLD,ALP,1.55,ALP
Murray,VIC,LP,20.87,Coalition
New England,NSW,NP,19.5844,Coalition
Newcastle,NSW,ALP,9.412,ALP
North Sydney,NSW,LP,15.7038,Coalition
O'Connor,WA,LP,15.2752,Coalition
Oxley,QLD,ALP,3.77,ALP
Page,NSW,NP,3.1122,Coalition
Parkes,NSW,NP,19.9432,Coalition
Parramatta,NSW,ALP,1.3001,ALP
Paterson,NSW,LP,0.3514,ALP
Pearce,WA,LP,9.2941,Coalition
Perth,WA,ALP,2.2002,ALP
Petrie,QLD,LNP,0.53,Coalition
Port Adelaide,SA,ALP,14.02,ALP
Rankin,QLD,ALP,4.78,ALP
Reid,NSW,LP,3.3889,Coalition
Richmond,NSW,ALP,1.5799,ALP
Riverina,NSW,NP,18.9828,Coalition
Robertson,NSW,LP,3.1151,Coalition
Ryan,QLD,LNP,8.54,Coalition
Scullin,VIC,ALP,14.35,ALP
Shortland,NSW,ALP,7.3947,ALP
Solomon,NT,CLP,1.4,Coalition
Stirling,WA,LP,8.9771,Coalition
Sturt,SA,LP,10.08,Coalition
Swan,WA,LP,7.3434,Coalition
Sydney,NSW,ALP,12.9332,ALP
Tangney,WA,LP,13.0215,Coalition
Wakefield,SA,ALP,3.4,ALP
Wannon,VIC,LP,10.07,Coalition
Warringah,NSW,LP,15.3313,Coalition
Watson,NSW,ALP,8.8536,ALP
Wentworth,NSW,LP,18.9403,Coalition
Werriwa,NSW,ALP,6.5314,ALP
Whitlam,NSW,ALP,6.929,ALP
Wide Bay,QLD,LNP,13.16,Coalition
Wills,VIC,ALP,20.76,ALP
Wright,QLD,LNP,11.84,Coalition
